Autore Test,Implementazione,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,Funzione di Attivazione di Output
Flo,HomeMade FCNN,LReLU,Batch,Rprop,"784, 256, 128, 64, 32, 10",43,"96,2","0,075838","0,153087",https://drive.google.com/file/d/1lgAZsjt7ZUeVpLCU1hzVDifCLMeQRFg5/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,LReLU,Batch,Rprop,"784, 1024, 512, 256, 128, 10",37,"97,3","0,038135","0,12382",https://drive.google.com/file/d/1y0dqCbj3iUQWadhrTLxrIFKaOIY8HA4H/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,LReLU,Batch,Rprop,"784, 2048, 1024, 512, 256, 10",38,"97,5","0,022577","0,110031",https://drive.google.com/file/d/1jZsQuzI_CfRg4R-GxGs2X4AhnVO9zWBP/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,Sig,Batch,Rprop,"784, 256, 128, 64, 32, 10",50,"93,3","0,185634","0,23343",https://drive.google.com/file/d/1lsjQhoeKVM8oqipM6RMhbdUSm6c3NQuO/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,Sig,Batch,Rprop,"784, 1024, 512, 256, 128, 10",50,"96,2","0,06349","0,133627",https://drive.google.com/file/d/1brUcRLBVcR5MU4K0gpAA1Q-eSho6Nh3f/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,Sig,Batch,Rprop,"784, 2048, 1024, 512, 256, 10",50,"96,4","0,065166","0,129235",https://drive.google.com/file/d/1-y4JgaobqAzovPJTLM5JjWN9KkRCyX4k/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784, 256, 128, 64, 32, 10",10,97.4,"0,047952","0,102127",https://drive.google.com/file/d/1pwuTJTWNx8hO4G0_0Au6AJop_hoYRa8w/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784, 1024, 512, 256, 128, 10",10,"97,8","0,026135","0,143483",https://drive.google.com/file/d/1HSFvqfik3vU-gcX4Dv4X-C4Qre4GaYAO/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784, 2048, 1024, 512, 256, 10",8,"97,3","0,035322","0,131719",https://drive.google.com/file/d/15ZF26Zd8eY1SbXZQ1ce6ZjBT-IYtvX35/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784, 256, 128, 64, 32, 10",9,"97,2","0,058945","0,110143",https://drive.google.com/file/d/1XBCKis2mfYYrYA3YFsoCOY_OuciQOhmd/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784, 1024, 512, 256, 128, 10",10,"97,8","0,02479","0,140192",https://drive.google.com/file/d/161llhg08eUStPjjcO07UJsz3u0nd1np8/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784, 2048, 1024, 512, 256, 10",8,"97,2","0,039573","0,166624",https://drive.google.com/file/d/1GZTNlPpDSTX5XuM87yYNZqPxQSTiBABU/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,Sig,Mini-Batch,Adam,"784, 256, 128, 64, 32, 10",17,"97,5","0,019849","0,110342",https://drive.google.com/file/d/1zE6wjdH3jv9QRzwXQsTp9XHJwDP2fzi0/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,Sig,Mini-Batch,Adam,"784, 1024, 512, 256, 128, 10",14,"97,8","0,026174","0,0997",https://drive.google.com/file/d/1EeqdENKsOhV6dZ2bod9dZ8gnSvq28-RI/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,HomeMade FCNN,Sig,Mini-Batch,Adam,"784, 2048, 1024, 512, 256, 10",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Flo,HomeMade FCNN,LReLU,Batch,Rprop,"784,128,128,128,10,",,,,,,5,"0,001",50,16,CE,Softmax
Dom,HomeMade FCNN,LReLU,Batch,Rprop,"784,256,128,10,",43,"96,4","0,072644","0,148296",https://drive.google.com/file/d/19AYYWf482d7fym73jvmuULGjludmA552/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,HomeMade FCNN,LReLU,Batch,Rprop,"784,384,10,",,,,,,5,"0,001",50,16,CE,Softmax
