Autore Test,Filtro,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,padding,stride_cov,stride_pool,kernel_size_pool
Giuliano,5x5,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",10,99,"0,014834","0,043808",https://drive.google.com/file/d/1KWZJ1ojWPkB7CYJXe7JtYukAa5v68KZh/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",7,"98,7","0,039488","0,048421",https://drive.google.com/file/d/1fnmtSekuuLct5rLeFuN9Hfql4ts8a_bF/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",11,"98,9","0,024716","0,048772",https://drive.google.com/file/d/1o9twHyhnwIUT24BL7HTOGD7v8dJ1aSUA/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",8,"99,1","0,027871","0,036294",https://drive.google.com/file/d/10ZeDJqGNM20jTwGosQZVDJxdfOKo03Af/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",16,"99,2","0,008792","0,038011",https://drive.google.com/file/d/1mXgqdm02tqKVyes09qIvuStj05HyfwP5/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
